date,tavg_c,prcp,snow
2017-01-01,6.9,0,0
2017-01-02,3.2,7.4,0
2017-01-03,4.9,10.9,0
2017-01-04,7.2,0,0
2017-01-05,-0.1,0,0
2017-01-06,-0.9,1.5,30
2017-01-07,-4.7,8.1,0
2017-01-08,-6.4,0,130
2017-01-09,-7.8,0,80
2017-01-10,-4.4,0,50
2017-01-11,6.9,14.5,0
2017-01-12,12.6,2.3,0
2017-01-13,11.7,0,0
2017-01-14,-0.2,2.5,0
2017-01-15,0.8,0,30
2017-01-16,1.1,0,0
2017-01-17,4.3,13.5,0
2017-01-18,4.6,1,0
2017-01-19,5.9,0,0
2017-01-20,5.6,3.6,0
2017-01-21,6.6,0,0
2017-01-22,7.7,0,0
2017-01-23,6.3,31.5,0
2017-01-24,3.2,19.8,0
2017-01-25,5.9,0,0
2017-01-26,8.6,0.8,0
2017-01-27,5.6,0,0
2017-01-28,2.6,0,0
2017-01-29,2.9,0,0
2017-01-30,1.5,0,0
2017-01-31,-1.2,0.8,0
2017-02-01,3.3,0,0
2017-02-02,4.1,0,0
2017-02-03,-0.4,0,0
2017-02-04,-2,0,0
2017-02-05,1.1,0,0
2017-02-06,5.6,0,0
2017-02-07,3.4,6.9,0
2017-02-08,8,1,0
2017-02-09,1.6,20.6,50
2017-02-10,-4.4,0,150
2017-02-11,2.2,0,130
2017-02-12,2.2,10.9,80
2017-02-13,2.1,0,50
2017-02-14,0.4,0,50
2017-02-15,3.5,0,30
2017-02-16,1.5,0,0
2017-02-17,0.6,0,0
2017-02-18,6.6,0,0
2017-02-19,13.8,0,0
2017-02-20,11.1,0,0
2017-02-21,4.1,0,0
2017-02-22,7.8,0,0
2017-02-23,10.8,0,0
2017-02-24,16.3,0,0
2017-02-25,14.9,13.7,0
2017-02-26,6.3,0,0
2017-02-27,4.9,0,0
2017-02-28,10.2,0,0
2017-03-01,14.6,4.1,0
2017-03-02,12.4,0,0
2017-03-03,2.1,0,0
2017-03-04,-2.9,0,0
2017-03-05,-4.7,0,0
2017-03-06,0,0,0
2017-03-07,7.4,2.3,0
2017-03-08,12.8,0,0
2017-03-09,13.8,0,0
2017-03-10,5.1,6.6,0
2017-03-11,-3.7,0,30
2017-03-12,-3.5,0,0
2017-03-13,-2.6,0,0
2017-03-14,-1,29.2,100
2017-03-15,-4.4,0,130
2017-03-16,-1.1,0,130
2017-03-17,2.3,0,100
2017-03-18,2,1.3,80
2017-03-19,3.7,0,80
2017-03-20,6,0,30
2017-03-21,9.8,0,0
2017-03-22,5.6,0,0
2017-03-23,-0.3,0,0
2017-03-24,5.7,0,0
2017-03-25,11.8,0.3,0
2017-03-26,5.8,1.3,0
2017-03-27,6.8,5.8,0
2017-03-28,8.1,25.1,0
2017-03-29,9.3,0,0
2017-03-30,6.9,0.5,0
2017-03-31,5.2,52.3,0
2017-04-01,5.2,0.5,0
2017-04-02,10.3,0,0
2017-04-03,12.2,1,0
2017-04-04,10.5,31,0
2017-04-05,10.8,0,0
2017-04-06,7.3,19.3,0
2017-04-07,8.4,0,0
2017-04-08,8.2,0,0
2017-04-09,12.1,0,0
2017-04-10,16.8,0,0
2017-04-11,21.2,0,0
2017-04-12,20.8,0.8,0
2017-04-13,14.9,0,0
2017-04-14,12.9,0,0
2017-04-15,13.1,0,0
2017-04-16,20.9,1.3,0
2017-04-17,21.4,0,0
2017-04-18,14.4,0,0
2017-04-19,9.4,0,0
2017-04-20,12.9,1.3,0
2017-04-21,11.6,3.6,0
2017-04-22,11.6,1,0
2017-04-23,12.3,0,0
2017-04-24,11.8,0,0
2017-04-25,12.2,22.4,0
2017-04-26,13.2,2.5,0
2017-04-27,16.4,0,0
2017-04-28,19.4,0,0
2017-04-29,24.2,4.1,0
2017-04-30,17.7,0,0
2017-05-01,13.9,0,0
2017-05-02,22.3,0,0
2017-05-03,17.4,0,0
2017-05-04,12.5,0,0
2017-05-05,12.8,77.5,0
2017-05-06,15.7,2.5,0
2017-05-07,12.1,0,0
2017-05-08,10.7,0,0
2017-05-09,12.4,0,0
2017-05-10,12.9,0,0
2017-05-11,12.4,0,0
2017-05-12,12.3,0,0
2017-05-13,10.4,45.5,0
2017-05-14,11.8,2.3,0
2017-05-15,15.9,0,0
2017-05-16,19.3,0,0
2017-05-17,24.2,0,0
2017-05-18,28.8,0,0
2017-05-19,29.3,0,0
2017-05-20,18.6,0,0
2017-05-21,14.8,0,0
2017-05-22,13.9,17.8,0
2017-05-23,16.8,0,0
2017-05-24,17.5,1,0
2017-05-25,14.5,24.1,0
2017-05-26,17.2,3.8,0
2017-05-27,19.7,0,0
2017-05-28,18.1,0,0
2017-05-29,15.4,3.6,0
2017-05-30,13.9,4.6,0
2017-05-31,17.7,1.3,0
2017-06-01,21.8,0,0
2017-06-02,21.2,0,0
2017-06-03,18.5,0.8,0
2017-06-04,18.2,2.5,0
2017-06-05,17.4,1.3,0
2017-06-06,14.7,1.3,0
2017-06-07,14.8,0,0
2017-06-08,16.8,0,0
2017-06-09,19.4,0,0
2017-06-10,24.6,0,0
2017-06-11,27.7,0,0
2017-06-12,29.5,0,0
2017-06-13,30.7,0,0
2017-06-14,26.4,4.3,0
2017-06-15,21.2,0,0
2017-06-16,19.2,0,0
2017-06-17,19.6,31.5,0
2017-06-18,24.2,0,0
2017-06-19,27.4,38.4,0
2017-06-20,24.2,0.5,0
2017-06-21,25.7,0,0
2017-06-22,24.3,0,0
2017-06-23,27.1,10.4,0
2017-06-24,26.3,39.6,0
2017-06-25,25.6,0,0
2017-06-26,23.5,0,0
2017-06-27,21.7,3.8,0
2017-06-28,21.3,0,0
2017-06-29,24.1,0,0
2017-06-30,26.9,0,0
2017-07-01,26.9,11.9,0
2017-07-02,25.7,0,0
2017-07-03,28,0,0
2017-07-04,25.8,0,0
2017-07-05,25.2,0,0
2017-07-06,23.3,0,0
2017-07-07,22.7,54.6,0
2017-07-08,25.5,0,0
2017-07-09,25.1,0,0
2017-07-10,24.7,0,0
2017-07-11,26.6,1,0
2017-07-12,28.2,0.3,0
2017-07-13,29.1,0.8,0
2017-07-14,21.6,7.6,0
2017-07-15,23.6,0.3,0
2017-07-16,25.3,0,0
2017-07-17,25.7,0,0
2017-07-18,26.6,0,0
2017-07-19,28.9,0,0
2017-07-20,30.8,0,0
2017-07-21,28.6,0,0
2017-07-22,29.6,9.9,0
2017-07-23,24,1.3,0
2017-07-24,21.9,22.9,0
2017-07-25,19.2,0.3,0
2017-07-26,21.6,0,0
2017-07-27,21.9,0,0
2017-07-28,25.3,0,0
2017-07-29,23.1,0,0
2017-07-30,22.4,0,0
2017-07-31,24.9,0,0
2017-08-01,27.1,0,0
2017-08-02,25.6,25.1,0
2017-08-03,24.4,0.3,0
2017-08-04,25.1,21.6,0
2017-08-05,24.3,16.3,0
2017-08-06,21.6,0,0
2017-08-07,19.9,16.5,0
2017-08-08,21.2,0,0
2017-08-09,23.9,0,0
2017-08-10,24.4,0,0
2017-08-11,23.7,0.3,0
2017-08-12,22.2,3,0
2017-08-13,24.8,0,0
2017-08-14,24.2,0,0
2017-08-15,22.6,13,0
2017-08-16,24.7,0,0
2017-08-17,24.1,0,0
2017-08-18,24.9,17.3,0
2017-08-19,26.3,0,0
2017-08-20,25.3,0,0
2017-08-21,25.6,0,0
2017-08-22,26.9,17.8,0
2017-08-23,25.7,0,0
2017-08-24,23.3,0,0
2017-08-25,21.8,0,0
2017-08-26,21.2,0,0
2017-08-27,20.6,0,0
2017-08-28,21.1,0,0
2017-08-29,19.5,7.6,0
2017-08-30,19.9,0,0
2017-08-31,22.1,0.8,0
2017-09-01,18.4,0,0
2017-09-02,16.3,15.2,0
2017-09-03,17.6,12.2,0
2017-09-04,20.7,0,0
2017-09-05,24.3,0.8,0
2017-09-06,19.9,9.4,0
2017-09-07,18.2,0.8,0
2017-09-08,18.2,0,0
2017-09-09,17.3,0,0
2017-09-10,17.8,0,0
2017-09-11,18.8,0,0
2017-09-12,21.1,0,0
2017-09-13,21.2,4.3,0
2017-09-14,23.6,0,0
2017-09-15,23.8,0,0
2017-09-16,23.4,0,0
2017-09-17,22.8,0,0
2017-09-18,21.8,0,0
2017-09-19,22.9,1,0
2017-09-20,23.8,0,0
2017-09-21,24.9,0,0
2017-09-22,23.9,0,0
2017-09-23,25.7,0,0
2017-09-24,26.2,0,0
2017-09-25,26.2,0,0
2017-09-26,23.3,0,0
2017-09-27,25.2,0,0
2017-09-28,24.2,0,0
2017-09-29,17.1,0,0
2017-09-30,16.2,0,0
2017-10-01,14.6,0,0
2017-10-02,16.3,0,0
2017-10-03,16.6,0,0
2017-10-04,17.5,0,0
2017-10-05,22.1,0,0
2017-10-06,23.5,0,0
2017-10-07,23.2,0,0
2017-10-08,23.9,5.6,0
2017-10-09,24,6.6,0
2017-10-10,23.9,0,0
2017-10-11,21.2,0.3,0
2017-10-12,16.9,1.3,0
2017-10-13,14.7,0,0
2017-10-14,18.6,2.5,0
2017-10-15,20.4,0,0
2017-10-16,16.6,0.3,0
2017-10-17,10.5,0,0
2017-10-18,13.8,0,0
2017-10-19,16.3,0,0
2017-10-20,18.2,0,0
2017-10-21,18.6,0,0
2017-10-22,17.2,0,0
2017-10-23,19.2,0,0
2017-10-24,21.3,5.3,0
2017-10-25,17.6,0,0
2017-10-26,13.4,0,0
2017-10-27,11.6,0,0
2017-10-28,15,0,0
2017-10-29,17.7,98,0
2017-10-30,13.7,5.6,0
2017-10-31,10.9,0,0
2017-11-01,9.3,0,0
2017-11-02,17.2,0,0
2017-11-03,19.2,0,0
2017-11-04,11.1,0,0
2017-11-05,13.3,1.3,0
2017-11-06,17.2,0,0
2017-11-07,7.9,17.5,0
